C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2020,01,1,14,2,01,03,07,1,2,U,18,01,01,2011,02,M,09,21,2,NN,2,000000002786801
2020,01,1,14,2,01,03,07,1,2,U,18,01,01,2011,03,M,08,23,2,NN,2,000000002786801
2020,01,1,14,2,01,03,07,1,2,U,18,01,01,2011,04,M,38,QQ,U,UU,U,000000002786801
2020,01,1,17,2,02,32,01,4,3,1,18,01,01,2003,01,F,66,11,2,02,1,000000002788020
2020,01,1,17,2,02,32,01,4,3,1,18,02,01,2002,01,F,21,11,2,02,1,000000002788020
2020,01,1,16,2,01,02,02,U,3,Q,18,01,16,2003,01,M,29,11,2,UU,U,000000002788505
2020,01,1,18,2,02,24,01,1,3,1,18,01,01,2015,01,M,42,11,1,UU,1,000000002788518
2020,01,1,18,2,02,24,01,1,3,1,18,02,01,2018,02,M,23,11,2,02,1,000000002788518
2020,01,1,10,2,02,21,01,4,2,1,18,01,01,2011,01,M,63,11,1,02,1,000000002788584
2020,01,1,10,2,02,21,01,4,2,1,18,02,01,2018,02,F,70,11,2,02,1,000000002788584
2020,01,1,10,2,02,21,01,4,2,1,18,02,01,2018,03,M,66,13,1,02,2,000000002788584
2020,01,1,12,2,01,03,01,4,3,3,18,01,01,2010,01,F,31,11,2,UU,1,000000002788703
2020,01,1,16,2,02,24,01,4,3,4,UU,01,01,2010,01,M,31,11,1,02,1,000000002788713
2020,01,1,16,2,02,24,01,4,3,4,UU,01,01,2010,02,M,UU,13,1,02,2,000000002788713
2020,01,1,16,2,02,24,01,4,3,4,UU,01,01,2010,03,F,06,23,1,02,2,000000002788713
2020,01,1,16,2,02,24,01,4,3,4,UU,01,01,2010,04,U,UU,QQ,N,NN,U,000000002788713
2020,01,1,16,2,02,24,01,4,3,4,UU,02,01,2003,01,F,13,96,2,02,2,000000002788713
2020,01,1,16,2,02,24,01,4,3,4,UU,02,01,2003,02,F,35,11,2,02,1,000000002788713
2020,01,1,16,2,01,03,01,5,5,1,UU,01,01,2001,01,F,10,13,2,02,2,000000002788720
2020,01,1,16,2,01,03,01,5,5,1,UU,01,01,2001,02,F,UU,33,2,02,2,000000002788720
2020,01,1,16,2,01,03,01,5,5,1,UU,01,01,2001,03,F,43,11,2,02,1,000000002788720
2020,01,1,19,2,01,04,01,4,3,1,18,01,01,2007,01,F,30,QQ,2,02,U,000000002788722
2020,01,1,18,2,01,04,01,4,4,1,18,01,01,2010,01,F,26,11,2,02,1,000000002788727
2020,01,1,12,2,01,03,01,5,5,5,UU,01,01,2004,01,F,27,11,2,02,1,000000002788728
2020,01,1,19,2,01,04,01,4,5,4,12,01,01,2007,01,F,22,11,2,02,1,000000002788729
2020,01,1,06,2,01,04,03,1,2,4,01,01,01,2012,01,M,47,11,1,02,1,000000002788730
2020,01,1,06,2,01,04,03,1,2,4,01,01,01,2012,02,F,32,13,2,02,2,000000002788730
2020,01,1,06,2,01,04,03,1,2,4,01,01,01,2012,03,M,82,QQ,N,NN,U,000000002788730
2020,01,1,08,2,01,03,01,1,5,4,18,01,01,2008,01,F,13,13,1,02,2,000000002788738
2020,01,1,08,2,01,03,01,1,5,4,18,01,01,2008,02,F,11,23,2,02,2,000000002788738
2020,01,1,08,2,01,03,01,1,5,4,18,01,01,2008,03,F,71,11,1,02,1,000000002788738
2020,01,1,16,2,01,04,01,4,3,U,18,01,01,2002,01,M,51,11,2,02,1,000000002788747
2020,01,1,14,2,01,04,01,1,2,4,18,01,01,1997,01,M,18,11,2,02,1,000000002788794
2020,01,1,14,2,01,04,01,1,2,4,18,01,01,1997,02,M,48,QQ,N,NN,U,000000002788794
2020,01,1,13,2,01,04,01,4,3,1,18,01,01,2002,01,F,30,11,2,02,1,000000002788921
2020,01,1,13,2,01,04,01,4,3,1,18,01,01,2002,02,M,01,23,1,02,2,000000002788921
2020,01,1,13,2,01,03,01,1,1,1,18,01,01,2004,01,F,22,11,2,02,1,000000002788951
2020,01,1,21,2,02,21,01,4,3,2,01,01,01,2008,01,F,11,13,1,02,2,000000002789863
2020,01,1,21,2,02,21,01,4,3,2,01,01,01,2008,02,M,53,11,2,02,1,000000002789863
2020,01,1,21,2,02,21,01,4,3,2,01,02,01,2004,01,M,55,11,U,UU,1,000000002789863
2020,01,1,21,2,02,21,01,4,3,2,01,02,01,2004,02,U,UU,QQ,N,NN,U,000000002789863
2020,01,1,15,2,02,24,02,1,2,1,18,01,01,2007,01,M,27,11,1,02,1,000000002789896
2020,01,1,15,2,02,24,02,1,2,1,18,01,01,2007,02,F,27,13,2,02,2,000000002789896
2020,01,1,15,2,02,24,02,1,2,1,18,01,01,2007,03,F,UU,21,1,02,2,000000002789896
2020,01,1,15,2,02,24,02,1,2,1,18,01,01,2007,04,F,53,22,2,02,2,000000002789896
2020,01,1,15,2,02,24,02,1,2,1,18,01,01,2007,05,F,03,23,1,02,2,000000002789896
2020,01,1,15,2,02,24,02,1,2,1,18,02,01,2010,01,F,35,11,2,02,1,000000002789896
2020,01,1,04,2,01,04,01,1,1,1,18,01,01,2005,01,M,22,11,2,02,1,000000002790070
2020,01,1,19,2,01,04,02,1,5,1,01,01,01,2010,01,M,19,11,2,02,1,000000002790088
2020,01,1,13,2,02,22,01,4,3,1,18,01,01,2013,01,F,77,11,2,02,1,000000002791343
2020,01,1,13,2,02,22,01,4,3,1,18,02,01,UUUU,01,U,UU,11,U,UU,1,000000002791343
2020,01,1,14,2,02,21,UU,4,4,3,18,01,05,2012,01,M,51,11,2,02,1,000000002791849
2020,01,1,14,2,02,21,UU,4,4,3,18,02,08,2007,01,U,39,11,N,UU,1,000000002791849
2020,01,1,08,2,01,04,UU,1,5,1,18,01,06,2006,01,M,70,11,2,02,1,000000002791860
2020,01,1,09,2,02,21,02,4,3,1,01,01,06,2002,01,U,31,11,N,UU,1,000000002791870
2020,01,1,09,2,02,21,02,4,3,1,01,02,01,2004,01,U,75,11,N,UU,1,000000002791870
2020,01,1,09,2,02,21,02,4,3,1,01,02,01,2004,02,F,25,13,2,02,2,000000002791870
2020,01,1,08,2,01,04,UU,2,5,1,18,01,01,2005,01,U,58,11,N,UU,1,000000002791914
2020,01,1,08,2,01,04,UU,2,5,1,18,01,01,2005,02,F,39,13,2,02,2,000000002791914
2020,01,1,19,2,01,04,UU,2,2,1,18,01,01,2004,01,F,42,11,2,02,1,000000002791926
2020,01,1,18,2,01,04,UU,5,5,4,18,01,08,2007,01,M,39,11,2,02,1,000000002791993
2020,01,1,11,2,01,04,UU,3,5,2,18,01,07,1998,01,M,58,11,2,02,1,000000002792024
2020,01,1,13,2,01,01,02,1,1,1,06,01,01,2004,01,M,50,11,2,02,1,000000002792041
2020,01,1,13,2,01,01,02,1,1,1,06,99,NN,NNNN,01,F,56,99,2,NN,3,000000002792041
2020,01,1,08,2,01,03,UU,1,5,4,18,01,01,2004,01,M,21,11,2,01,1,000000002792077
2020,01,1,16,2,01,01,02,3,2,1,06,01,01,2009,01,U,71,11,N,UU,1,000000002792111
2020,01,1,16,2,01,01,02,3,2,1,06,99,NN,NNNN,01,M,13,99,2,NN,3,000000002792111
2020,01,1,07,2,01,04,02,4,3,3,18,01,01,2009,01,F,26,11,2,02,1,000000002792237
2020,01,1,19,2,01,04,UU,4,3,5,18,01,01,2010,01,F,27,11,2,UU,1,000000002792243
2020,01,1,15,2,01,03,UU,5,5,1,18,01,06,2005,01,F,52,11,2,02,1,000000002792295
2020,01,1,13,2,02,31,UU,1,1,3,18,01,06,2013,01,F,51,11,2,02,1,000000002792300
2020,01,1,13,2,02,31,UU,1,1,3,18,02,08,2013,01,M,47,11,2,02,1,000000002792300
2020,01,1,05,2,01,04,UU,4,3,1,18,01,01,2006,01,F,42,11,2,02,1,000000002792307
2020,01,1,15,2,01,03,UU,4,3,3,18,01,01,2010,01,F,47,11,2,02,1,000000002792342
2020,01,1,15,2,01,03,UU,4,3,3,18,01,01,2010,02,M,55,13,2,02,2,000000002792342
2020,01,1,07,2,01,03,02,6,3,4,18,01,06,2005,01,F,51,11,2,02,1,000000002792367
2020,01,1,18,2,02,33,02,3,2,1,01,01,01,2006,01,F,22,11,2,02,1,000000002792391
2020,01,1,18,2,02,33,02,3,2,1,01,01,01,2006,02,M,33,13,2,02,2,000000002792391
2020,01,1,18,2,02,33,02,3,2,1,01,02,01,2006,01,M,23,11,2,02,1,000000002792391
2020,01,1,10,2,01,04,UU,5,5,2,18,01,01,2013,01,M,26,11,2,02,1,000000002792448
2020,01,1,19,2,02,31,UU,2,3,3,18,01,01,2002,01,U,17,11,N,UU,1,000000002792463
2020,01,1,19,2,02,31,UU,2,3,3,18,02,01,1992,01,M,54,11,2,02,1,000000002792463
2020,01,1,17,2,02,21,UU,1,2,1,18,01,06,2009,01,F,45,11,2,02,1,000000002792472
